Location of death (city),State,Number_of_Incidents,Requires_De_Escalation,Has_Use_of_Force_Continuum,Bans_Chokeholds_and_Strangleholds,Requires_Warning_Before_Shooting,Restricts_Shooting_at_Moving_Vehicles,Requires_Exhaust_All_Other_Means_Before_Shooting,Duty_to_Intervene,Requires_Comprehensive_Reporting,City Population,Incidents_Per_Capita,Latitude,Longitude
Fridley,MN,3,1,0,1,1,0,0,1,1,27789.0,10.795638562020944,45.0722118,-93.2611276
Glendale,AZ,27,0,1,0,0,0,1,0,0,250290.0,10.787486515641856,33.5929197,-112.1600283
Santa Cruz,CA,7,0,0,1,1,0,0,1,0,65011.0,10.767408592392057,36.9748194,-122.0196115
Imperial,CA,2,0,0,1,1,0,0,1,0,18631.0,10.734796843969727,32.8204806,-115.5542296
Corona,CA,18,0,0,1,1,0,0,1,0,168112.0,10.707147615875131,33.8765984,-117.5776708
Greenville,TX,3,0,0,1,0,0,1,0,0,28088.0,10.680717744232412,33.1327113,-96.0290153
Redwood,CA,9,0,0,1,1,0,0,1,0,84518.0,10.648619229039967,,
Charlottesville,VA,5,1,1,1,1,1,0,1,0,47217.0,10.58940635787958,37.9777939,-78.5453029
Garland,TX,25,0,0,1,1,0,0,0,0,238622.0,10.476821081040306,32.9187447,-96.6522267
Portland,OR,68,1,1,1,1,0,0,1,1,650380.0,10.45542605861189,45.5230622,-122.6764815
Madison,WI,27,1,1,1,1,0,1,1,1,258366.0,10.450291447017024,43.0832545,-89.5231279
Tempe,AZ,20,1,1,1,1,1,1,1,1,191607.0,10.438032013444186,33.3928639,-111.9395878
Wauwatosa,WI,5,0,1,1,1,0,1,1,0,48143.0,10.385725858380242,43.0625827,-87.9997039
Upland,CA,8,0,1,1,0,0,0,0,0,77348.0,10.342866008170864,34.1059,-117.6738816
Seattle,WA,76,1,1,1,1,1,1,1,1,741251.0,10.25293726416558,47.6185683,-122.3464095
Los Angeles,CA,407,1,1,1,1,1,1,1,1,3973278.0,10.243431242414951,34.0514934,-118.2008155
Davis,CA,7,1,1,1,1,0,1,1,1,68640.0,10.198135198135198,38.5398745,-121.7548688
Scottsdale,AZ,26,0,1,0,1,0,0,0,0,254995.0,10.196278358399184,33.509479,-111.917459
Chino,CA,9,0,0,1,1,0,0,1,0,89170.0,10.09308063249972,34.0296905,-117.6702056
Grand Rapids,MI,20,0,0,1,0,0,0,1,0,199417.0,10.029235220668248,42.9435733,-85.6602844
Vacaville,CA,10,0,0,1,1,0,0,1,0,99958.0,10.004201764741191,38.385091,-121.983135
Toms River,NJ,9,1,1,1,1,1,1,1,1,90081.0,9.991008092716555,39.952638,-74.1290797
Santa Monica,CA,9,0,0,1,1,0,0,1,1,91600.0,9.825327510917033,34.01114,-118.4850555
Ithaca,NY,3,1,1,1,1,0,0,0,1,30715.0,9.767214715936838,42.440538,-76.5130135
Sioux,IA,8,1,1,1,0,1,0,1,0,82535.0,9.692857575574,,
Oxnard,CA,20,0,0,1,1,0,0,1,0,207722.0,9.628253146031716,34.1590937,-119.182326
Midlothian,TX,3,0,0,0,0,0,0,1,0,31533.0,9.513842641042718,32.482768,-96.986802
Arvin,CA,2,1,0,1,0,0,0,1,0,21220.0,9.42507068803016,35.1978531,-118.8414306
Burlington,VT,4,1,1,1,1,0,1,1,1,42645.0,9.379763160980184,44.517913,-73.246385
Roseville,CA,13,0,0,1,1,0,0,1,0,138860.0,9.361947285035289,38.7295487,-121.2558935
Missoula,MT,7,0,1,0,0,0,0,1,0,74994.0,9.334080059738112,46.871676,-114.006538
San Diego,CA,132,1,1,1,1,0,1,1,1,1414545.0,9.331622535868425,32.7266073,-117.0717535
Fort Worth,TX,83,1,1,1,1,1,0,1,0,892221.0,9.302627936352092,32.7891849,-97.353167
North Las Vegas,NV,23,1,0,1,1,0,1,1,0,247248.0,9.302400828318127,36.199017,-115.1263799
Fullerton,CA,13,1,0,1,1,0,0,1,0,141061.0,9.215871147943089,33.8935243,-117.9663114
Laredo,TX,24,0,1,1,1,0,1,0,0,260571.0,9.210541464706356,27.5447005,-99.5042791
Sunnyvale,CA,14,0,0,1,1,0,0,1,0,152569.0,9.17617602527381,37.355512,-122.0456976
Beaverton,OR,9,1,1,1,1,0,0,1,1,98567.0,9.130845008978666,45.4430491,-122.8269958
Morgan,LA,1,0,1,1,1,0,1,0,1,10963.0,9.121590805436467,,
El Paso,TX,62,0,1,0,1,0,1,0,0,679879.0,9.119269752411826,31.8149706,-106.5444542
Chesapeake,VA,22,0,1,0,1,0,0,1,0,242647.0,9.066668864646998,36.7618449,-76.3323293
Durham,NC,25,1,1,1,1,1,1,1,1,276341.0,9.04679363539974,35.9916125,-78.911903
Kenosha,WI,9,1,1,1,1,0,1,1,0,99767.0,9.021018974209907,42.5667413,-87.8875487
Downey,CA,10,0,0,1,0,0,0,0,0,111263.0,8.987713795241904,33.9156779,-118.1250809
Fremont,CA,21,1,0,1,1,0,0,1,0,234829.0,8.942677437624825,37.4686468,-121.9078965
San Leandro,CA,8,1,0,1,1,0,0,1,0,90489.0,8.840853584413576,37.7278479,-122.1492532
Santa Barbara,CA,8,0,0,1,1,0,0,0,1,90911.0,8.79981520388072,34.4146718,-119.6978095
Lakewood,CA,7,1,1,1,0,1,1,1,0,79676.0,8.785581605502284,33.8561922,-118.1307539
Henderson,NV,27,1,1,1,1,0,1,1,0,309955.0,8.710941910922553,36.0248192,-115.0854228
Santa Clara,CA,11,0,0,1,1,0,0,1,0,126723.0,8.68035005484403,37.3451655,-121.9870907
Los Alamitos,CA,1,0,0,1,1,0,0,1,0,11521.0,8.679802100512108,33.8027245,-118.0628149
Tustin,CA,7,0,0,1,1,0,0,1,0,80815.0,8.661758336942398,33.7354092,-117.824875
Fairfield,CA,10,0,0,1,1,0,0,1,0,116544.0,8.580450302031851,38.2737017,-122.0340464
Tooele,UT,3,0,1,1,1,0,0,1,0,35313.0,8.495454931611588,40.7230314,-112.226034
Marana,AZ,4,1,1,0,1,0,0,0,0,47164.0,8.481044864727334,32.3038678,-111.3213084
New Haven,CT,11,1,1,0,1,0,0,1,1,130381.0,8.43681211219426,41.3051876,-72.9378121
Austin,TX,81,1,1,1,0,0,0,1,0,965872.0,8.38620438318949,30.2746126,-97.721093
Boise,ID,19,1,0,0,1,0,0,0,0,228057.0,8.331250520703158,43.6053353,-116.2877932
Lincoln,CA,4,0,0,1,1,0,0,1,0,48150.0,8.307372793354102,38.8676449,-121.2733151
Cedar Hill,TX,4,1,1,1,1,0,1,1,1,48337.0,8.275234292570907,32.597072,-96.9463201
Cedar Rapids,IA,11,0,0,1,1,0,0,1,0,133125.0,8.262910798122066,41.963913,-91.695297
Albany,GA,6,0,1,0,1,1,0,0,0,72634.0,8.26059421207699,31.571507,-84.15812
Petaluma,CA,5,1,0,1,1,0,0,1,0,60865.0,8.21490183192311,38.2356624,-122.6007962
Alexandria,VA,13,0,1,1,0,1,1,1,0,158309.0,8.211788337997207,38.8138529,-77.1113368
Columbia,MO,10,0,1,1,0,0,1,0,0,122659.0,8.152683455759462,38.9444639,-92.3186059
Killeen,TX,12,1,1,1,1,0,1,1,0,148573.0,8.07683764883256,31.098448,-97.6932904
Newport Beach,CA,7,0,1,1,1,0,0,1,1,86694.0,8.07437654278266,33.598655,-117.8834696
San Jose,CA,83,1,1,1,1,0,0,1,1,1029409.0,8.062878797445913,37.2818031,-121.8279775
Bainbridge Island,WA,2,1,0,1,1,0,1,1,0,24859.0,8.045375920189871,47.6325686,-122.5678307
Union,CA,6,1,0,1,1,0,0,1,0,75067.0,7.992859711990621,,
Dover,DE,3,1,1,1,0,0,1,0,0,37872.0,7.921419518377693,39.154961,-75.516848
Geneva,NY,1,0,0,1,0,0,0,0,0,12720.0,7.861635220125786,42.8799817,-76.9782152
Greensboro,NC,23,1,0,0,0,0,0,1,0,294395.0,7.812632687375804,36.0530491,-79.9044506
South Portland,ME,2,1,1,1,1,0,0,1,0,25665.0,7.792713812585232,43.6260006,-70.2528389
Rochester,NY,16,0,1,1,0,0,0,0,0,206357.0,7.75355330810198,43.181849,-77.607739
Burbank,CA,8,1,0,1,1,1,0,1,0,103411.0,7.73612091556991,34.1699726,-118.3402232
Lansing,MI,9,0,0,0,1,0,0,1,0,117488.0,7.660356802396841,42.7640717,-84.570649
Bridgeport,CT,11,1,1,1,1,0,0,1,1,145014.0,7.585474505909775,41.188164,-73.1677101
Salem,OR,13,1,1,1,1,1,1,1,1,171806.0,7.566674039323424,44.9148591,-123.0654155
Folsom,CA,6,1,0,1,1,0,0,1,0,79584.0,7.539203860072376,38.6646519,-121.16037
Huntington Beach,CA,15,0,0,1,1,0,0,1,0,199778.0,7.508334251018631,33.7142089,-117.9920708
Pleasanton,CA,6,0,0,1,1,0,0,1,0,79975.0,7.5023444826508285,37.6897044,-121.8728921
Elk Grove,CA,13,1,1,1,1,0,0,1,0,173370.0,7.498413797081386,38.4377286,-121.4026724
Portland,ME,5,1,0,1,1,0,0,1,0,66706.0,7.495577609210566,43.6500767,-70.2654971
Honolulu,HI,26,1,1,1,1,0,0,1,1,347181.0,7.488889080911685,21.2773052,-157.8220959
Hialeah,FL,17,0,1,0,0,0,0,1,0,233876.0,7.268809112521164,25.8906591,-80.3018572
Lockhart,TX,1,0,0,0,1,0,0,1,0,13782.0,7.255840951966333,29.873895,-97.670155
Bexley,OH,1,1,1,1,1,1,1,1,1,13805.0,7.243752263672582,39.9568337,-82.924478
Jersey,NJ,19,1,1,1,1,1,1,1,1,262652.0,7.233906461782129,,
Simi Valley,CA,9,0,0,1,1,0,0,1,0,125768.0,7.156033331213027,34.2637391,-118.7638048
Orem,UT,7,1,1,1,1,0,0,1,0,97883.0,7.151395032845336,40.3124021,-111.6970582
Charlotte,NC,62,1,1,1,1,1,1,1,1,873570.0,7.097313323488673,35.2390502,-80.9183189
Costa Mesa,CA,8,0,0,1,0,0,0,0,0,112958.0,7.082278368951292,33.6931781,-117.8682869
Clifton,NJ,6,1,1,1,1,1,1,1,1,85201.0,7.042170866539125,40.8927647,-74.1319391
Arcadia,CA,4,1,0,1,1,0,0,1,0,57053.0,7.0110248365554835,34.1117135,-118.0104748
Monterey,CA,2,1,0,1,1,0,0,1,0,28575.0,6.99912510936133,36.602632,-121.894841
Virginia Beach,VA,31,1,0,1,1,0,0,1,1,450882.0,6.875413079253552,36.8457224,-76.1733016
Thibodaux,LA,1,0,0,0,1,0,0,1,0,14565.0,6.865774116031583,29.7974428,-90.8242327
Champaign,IL,6,1,1,0,1,0,0,1,0,88288.0,6.795940558173251,40.114371,-88.2451569
San Mateo,CA,7,0,0,1,1,0,0,1,0,103619.0,6.755517810440169,37.5545835,-122.2834725
Chula Vista,CA,18,1,0,1,1,0,0,1,0,268779.0,6.696951770785663,32.6147448,-117.0788349
Burlingame,CA,2,1,0,1,1,0,0,1,0,30071.0,6.6509261414652,37.5899812,-122.3495438
Burnsville,MN,4,0,0,1,0,0,0,1,0,61536.0,6.5002600104004165,44.7746951,-93.3170555
Bothell,WA,3,1,0,1,1,0,1,1,1,46386.0,6.4674686327771305,47.8149255,-122.2038611
Orange,CA,9,0,0,1,1,0,0,1,0,139322.0,6.459855586339559,33.7951025,-117.8530901
Eugene,OR,11,0,0,1,0,0,0,1,0,170457.0,6.453240406671478,44.0867586,-123.0751145
Nashville,TN,43,1,1,1,1,0,1,1,0,667070.0,6.446100109433792,36.1325006,-86.7938567
Boulder,CO,7,1,1,1,1,0,1,1,1,108777.0,6.435183908362982,40.0163244,-105.2362488
Princeton,NJ,2,1,1,1,1,1,1,1,1,31161.0,6.418279259330573,40.370274,-74.6949817
Sunrise,FL,6,0,0,1,1,0,0,0,0,94657.0,6.338675428124703,26.1458318,-80.2285889
San Luis Obispo,CA,3,1,0,1,1,0,0,1,0,47402.0,6.328846884097717,35.29612,-120.665867
Arlington,TX,25,1,1,1,1,0,1,1,1,397269.0,6.292965220039822,32.6409421,-97.0969342
Alameda,CA,5,0,0,1,1,0,0,1,0,79827.0,6.263544915880592,37.7642723,-122.2675352
Buffalo,NY,16,1,1,1,0,1,1,0,0,255805.0,6.2547643712984495,42.9402199,-78.802558
Lawrence,MA,5,0,1,0,1,0,1,1,1,80022.0,6.248281722526305,42.6848579,-71.1433257
Lynchburg,VA,5,1,1,1,1,0,1,1,0,80970.0,6.175126590095097,37.3924599,-79.1313499
Manteca,CA,5,1,1,1,1,0,0,1,0,81078.0,6.166901008905005,37.7712409,-121.202464
Somerville,MA,5,1,1,1,1,0,0,1,1,81175.0,6.159531875577456,42.398325,-71.108412
Helena,MT,2,0,0,0,0,0,0,1,1,32655.0,6.124636349716736,46.6797758,-112.0291321
Red Wing,MN,1,0,1,1,1,0,0,1,0,16366.0,6.110228522546743,44.5741269,-92.598584
Buena Park,CA,5,0,0,1,1,0,0,1,0,82228.0,6.080653791895704,33.8634801,-118.0025364
Beverly Hills,CA,2,0,1,1,1,0,1,1,0,33709.0,5.933133584502655,34.1128442,-118.4303741
Alhambra,CA,5,1,0,1,1,0,0,1,0,84509.0,5.916529600397591,34.0688668,-118.1514407
Chandler,AZ,15,1,1,0,1,0,1,1,0,257076.0,5.834850394435887,33.3352805,-111.8243609
University,MO,2,0,1,0,0,0,0,0,1,34336.0,5.824790307548928,,
Greenfield,MA,1,1,1,0,1,0,0,0,0,17353.0,5.76269232985651,42.5950397,-72.5927786
Greenfield,CA,1,0,0,1,1,0,0,1,0,17565.0,5.693139766581269,36.31631,-121.2547074
Arroyo Grande,CA,1,0,0,1,1,0,0,1,0,17924.0,5.57911180540058,35.1111693,-120.5636368
Providence,RI,10,1,1,1,1,0,0,1,1,179472.0,5.571899794954088,41.8242783,-71.4398076
Roseville,MN,2,1,0,1,1,0,0,1,0,36139.0,5.534187442928692,44.9918547,-93.1260704
Albany,OR,3,1,1,1,0,1,0,1,1,54442.0,5.51045148965872,44.6078993,-123.0676459
Bellingham,WA,5,1,0,1,0,0,1,1,0,90821.0,5.505334669294546,48.7453714,-122.4779487
Winston-Salem,NC,13,1,1,0,1,0,0,0,0,245787.0,5.289132460219621,36.0708715,-80.3903508
Carlsbad,CA,6,1,0,1,1,1,0,1,0,114411.0,5.244250989852374,33.0787936,-117.2315251
Lincoln,NE,15,1,1,1,1,0,1,1,1,286388.0,5.237649622190874,40.799981,-96.686676
Pacifica,CA,2,0,0,1,1,0,0,1,0,38663.0,5.17290432713447,37.6496304,-122.4762269
Raleigh,NC,24,0,1,1,1,0,1,1,1,469698.0,5.109666211054763,35.778275,-78.677061
Irving,TX,12,0,0,0,0,0,0,0,1,240475.0,4.99012371348373,32.8617983,-97.0115
Brentwood,CA,3,0,0,1,0,0,0,0,0,63013.0,4.760922349356482,37.936187,-121.697623
Daly,CA,5,0,0,1,1,0,0,1,0,107197.0,4.664309635530845,,
Concord,NH,2,0,1,0,1,0,1,1,1,43503.0,4.59738408845367,43.231858,-71.513673
Glendale,CA,9,1,1,1,1,0,1,1,0,199357.0,4.514514163034155,34.1735802,-118.1928511
Redondo Beach,CA,3,0,0,1,1,0,0,1,0,66663.0,4.500247513613249,33.8639567,-118.3556587
Hudson,OH,1,0,0,0,1,0,0,1,0,22249.0,4.494584026248371,41.2626622,-81.3929428
San Bruno,CA,2,0,0,1,1,0,0,1,0,44663.0,4.477979535633522,37.6328279,-122.4191336
Rocklin,CA,3,1,0,1,1,0,0,1,0,67070.0,4.472938720739526,38.8085084,-121.2799292
Gaithersburg,MD,3,1,0,1,1,0,1,1,1,67878.0,4.419694157164324,39.162041,-77.180863
Kirkland,WA,4,1,0,1,1,0,1,1,0,91146.0,4.388563403769776,47.7071288,-122.1885209
Everett,MA,2,1,1,1,1,0,1,1,1,46275.0,4.321988114532685,42.402881,-71.0418939
Walnut Creek,CA,3,0,0,1,1,0,0,1,0,69836.0,4.2957786814823296,37.8973309,-122.0690732
Concord,NC,4,1,0,1,1,1,0,1,0,94147.0,4.248674944501683,35.3742709,-80.5496666
Grand Prairie,TX,8,0,0,1,1,0,0,0,0,193835.0,4.127221606005108,32.6734865,-97.0364226
Bellevue,WA,6,0,0,0,0,0,0,0,1,146145.0,4.105511649389305,47.6156454,-122.2037246
Cedar Park,TX,3,1,1,1,1,0,0,1,0,77181.0,3.886966999650173,30.5197877,-97.8353106
Placentia,CA,2,0,0,1,1,0,0,1,0,52049.0,3.8425329977521185,33.870894,-117.857934
Auburn,NY,1,1,0,1,1,0,0,1,0,26383.0,3.790319523935868,42.9338767,-76.5787842
Colleyville,TX,1,0,0,1,0,0,0,1,1,26766.0,3.736083090487933,32.8701157,-97.113134
Belmont,CA,1,1,0,1,1,0,0,1,0,26963.0,3.708786114304788,37.5225676,-122.2736388
San Ramon,CA,3,0,0,1,1,0,0,1,0,81344.0,3.688040912667191,37.7401721,-121.9542905
Lakewood,NJ,2,1,1,1,1,1,1,1,1,55039.0,3.6337869510710585,40.0602886,-74.2294077
Overland Park,KS,7,0,0,0,1,0,0,0,0,193412.0,3.6192170082518142,38.9636748,-94.6757852
Surprise,AZ,5,1,1,1,1,0,0,1,1,139007.0,3.5969411612364848,33.6213152,-112.4030443
Old Bridge,NJ,1,1,1,1,1,1,1,1,1,27836.0,3.5924701824974856,40.405239,-74.301112
Goodyear,AZ,3,0,1,1,1,0,0,1,0,83519.0,3.591997030615788,33.4516815,-112.3445615
Norwalk,CT,3,1,1,1,1,0,1,1,1,88755.0,3.380091262464086,41.1032875,-73.4332055
Fitchburg,WI,1,0,1,1,1,0,1,0,1,30032.0,3.3297815663292485,43.0227609,-89.4194503
Livermore,CA,3,1,0,1,1,0,0,1,0,91763.0,3.2692915445223023,37.6759999,-121.7796372
Savage,MN,1,0,0,1,0,0,0,1,0,31758.0,3.1488128975376286,44.7462347,-93.3795944
Dover,NH,1,0,1,1,1,0,1,1,0,31922.0,3.13263579976192,43.2135901,-70.8901888
Los Gatos,CA,1,0,0,1,1,0,0,1,0,31943.0,3.130576339104029,37.1956711,-121.9853106
Matthews,NC,1,0,1,1,1,0,0,1,1,32682.0,3.059788262652224,35.1224296,-80.7168073
Walla Walla,WA,1,0,0,0,0,0,0,1,0,32951.0,3.0348092622378684,46.0684328,-118.3689604
Foster,CA,1,0,0,1,1,1,0,1,1,33056.0,3.0251694094869315,,
Cedar,UT,1,1,0,0,1,0,0,1,0,33404.0,2.9936534546760867,,
South San Francisco,CA,2,0,0,1,1,0,0,1,0,66878.0,2.9905200514369445,37.6600828,-122.4053395
Franklin,MA,1,0,1,1,1,1,1,0,0,33644.0,2.9722981809535134,42.0893042,-71.3806905
Palo Alto,CA,2,0,0,1,1,0,0,1,0,67973.0,2.9423447545348886,37.4123542,-122.1591619
Carrollton,TX,4,0,0,0,0,0,0,0,0,137319.0,2.9129253781341258,32.9678449,-96.8887202
Boston,MA,20,1,1,1,0,0,1,1,0,689326.0,2.9013848309798265,42.3639798,-71.0604784
Pleasant Hill,CA,1,1,0,1,1,0,0,1,0,34903.0,2.865083230667851,37.9657114,-122.0625298
Gilbert,AZ,7,0,1,1,1,0,1,0,1,248349.0,2.8186141276993264,33.3356142,-111.7555851
Plano,TX,8,0,1,1,1,0,1,0,1,288870.0,2.769411846159172,33.0292999,-96.688227
Framingham,MA,2,1,1,1,1,1,1,1,1,72846.0,2.74551794195975,42.2863645,-71.410912
Issaquah,WA,1,0,1,0,1,0,0,1,0,38707.0,2.5835120262484823,47.525131,-122.032148
Yonkers,NY,5,0,1,1,1,1,0,1,1,200183.0,2.4977145911490988,40.9049931,-73.868917
Mountain View,CA,2,0,0,1,1,0,0,1,0,80104.0,2.496754219514631,37.4333804,-122.0955813
Rancho Palos Verdes,CA,1,0,0,1,1,0,0,1,0,41635.0,2.401825387294344,33.7685783,-118.4031746
Urbana,IL,1,0,0,0,1,0,0,1,0,42461.0,2.3551023291962037,40.122235,-88.205656
Brea,CA,1,0,0,1,1,0,0,1,0,44182.0,2.2633651713367433,33.9217913,-117.8374963
Morgan Hill,CA,1,0,0,1,1,0,0,1,0,44789.0,2.232691062537677,37.122031,-121.653715
Middletown,CT,1,1,0,1,1,0,1,1,1,46406.0,2.154893763737448,41.5902903,-72.7083138
Fishers,IN,2,0,0,1,1,1,0,0,0,93488.0,2.1393119972616805,39.9625634,-86.0292731
Burleson,TX,1,0,0,1,1,0,0,1,0,47151.0,2.1208457933023688,32.481889,-97.278699
Cypress,CA,1,0,0,1,1,0,0,1,0,49137.0,2.0351262795856484,33.7952134,-118.0226621
Carmel,IN,2,1,1,1,0,0,0,1,0,99130.0,2.0175527085645113,39.9564529,-86.0659424
West Lafayette,IN,1,1,0,0,1,0,0,1,0,49668.0,2.013368768623661,40.4636326,-86.9676242
Hoffman Estates,IL,1,0,1,0,1,0,1,1,0,50464.0,1.9816106531388713,42.0466299,-88.1436715
Irvine,CA,5,1,1,1,1,0,0,1,0,272694.0,1.833557027290663,33.7235159,-117.7716468
Murrieta,CA,2,0,0,1,1,0,0,1,1,114066.0,1.7533708554696406,33.555849,-117.1851529
College Station,TX,2,1,0,1,0,1,0,0,0,115802.0,1.7270858879812092,30.627977,-96.3344068
West Hartford,CT,1,1,1,1,1,0,1,1,1,63023.0,1.5867223077289243,41.7323697,-72.7579113
Skokie,IL,1,0,0,0,0,0,0,0,0,63300.0,1.5797788309636651,42.0334503,-87.7448876
Pflugerville,TX,1,0,1,0,1,0,0,1,1,63610.0,1.572079861656972,30.4617412,-97.5984726
Janesville,WI,1,0,1,0,0,0,0,1,0,64415.0,1.552433439416285,42.678584,-89.0023599
Rowlett,TX,1,1,0,1,1,0,0,1,0,65426.0,1.5284443493412403,32.916936,-96.554658
Milpitas,CA,1,0,0,1,1,0,0,1,0,75182.0,1.3301056103854645,37.4393341,-121.8766762
Mount Pleasant,SC,1,1,1,1,1,0,0,1,0,89410.0,1.1184431271669837,32.8168859,-79.856283
Tracy,CA,1,1,0,1,1,0,0,1,0,91462.0,1.0933502438171043,37.7504195,-121.398266
Worcester,MA,2,1,1,1,0,0,0,1,1,185186.0,1.0799952480209087,42.260149,-71.8066923
New York,NY,76,1,1,1,0,1,0,1,0,8379552.0,0.9069697282145872,,
Cambridge,MA,1,0,0,1,1,0,0,1,1,117822.0,0.8487379267029928,42.3737258,-71.0888436
Ann Arbor,MI,1,0,1,0,0,0,0,1,1,121093.0,0.8258115663167979,42.276936,-83.7740479
