City,State,Net_Leaning,Number_of_Incidents,Requires_De_Escalation,Has_Use_of_Force_Continuum,Bans_Chokeholds_and_Strangleholds,Requires_Warning_Before_Shooting,Restricts_Shooting_at_Moving_Vehicles,Requires_Exhaust_All_Other_Means_Before_Shooting,Duty_to_Intervene,Requires_Comprehensive_Reporting,City Population,Latitude,Longitude
Akron,OH,0.0956776588120781,35,0,0,1,1,0,0,1,0,197375.0,41.090236,-81.574747
Alameda,CA,0.6250730453075695,5,0,0,1,1,0,0,1,0,79827.0,37.7642723,-122.2675352
Albany,GA,0.3999603522981507,6,0,1,0,1,1,0,0,0,72634.0,31.571507,-84.15812
Albany,OR,-0.2336729074889867,3,1,1,1,0,1,0,1,1,54442.0,44.6078993,-123.0676459
Albemarle,NC,-0.5105925336633371,2,1,1,0,0,0,1,1,1,16073.0,35.3656307,-80.2017092
Albuquerque,NM,0.2444094587361063,153,1,0,1,1,1,0,1,1,560447.0,35.1527206,-106.5880844
Alexandria,VA,0.4434834241053931,13,0,1,1,0,1,1,1,0,158309.0,38.8138529,-77.1113368
Alhambra,CA,0.441649577369667,5,1,0,1,1,0,0,1,0,84509.0,34.0688668,-118.1514407
Allentown,PA,0.0759502579677662,17,1,1,1,1,0,0,0,0,121156.0,40.6002864,-75.4728969
Anaheim,CA,0.0903421756466175,56,1,1,1,1,0,0,1,0,353085.0,33.8324111,-117.9687931
Ann Arbor,MI,0.4662042898465007,1,0,1,0,0,0,0,1,1,121093.0,42.276936,-83.7740479
Antioch,CA,0.453297346021785,22,0,0,1,1,0,0,1,0,111468.0,38.0031972,-121.8398373
Appleton,WI,-0.0715353321389331,9,1,1,0,1,0,0,1,0,73891.0,44.2897435,-88.421154
Arcadia,CA,0.441649577369667,4,1,0,1,1,0,0,1,0,57053.0,34.1117135,-118.0104748
Arlington,TX,0.1672134493139611,25,1,1,1,1,0,1,1,1,397269.0,32.6409421,-97.0969342
Arroyo Grande,CA,0.1306961193132724,1,0,0,1,1,0,0,1,0,17924.0,35.1111693,-120.5636368
Arvin,CA,-0.1019286453624726,2,1,0,1,0,0,0,1,0,21220.0,35.1978531,-118.8414306
Atlanta,GA,0.4963232576732566,146,1,1,1,1,0,0,1,1,497642.0,33.7527031,-84.3811976
Atwater,CA,0.1059478322327009,8,1,0,1,1,0,0,1,0,30336.0,37.3533836,-120.6688461
Auburn,CA,-0.0664400809923261,2,0,1,1,1,0,0,1,0,14104.0,38.9301464,-121.0945946
Auburn,NY,-0.0914853101196953,1,1,0,1,1,0,0,1,0,26383.0,42.9338767,-76.5787842
Aurora,CO,0.3736969182831133,51,1,1,1,1,1,1,1,1,379434.0,39.7112538,-104.8470999
Austin,TX,0.3101878347232583,81,1,1,1,0,0,0,1,0,965872.0,30.2746126,-97.721093
Azusa,CA,0.441649577369667,12,1,0,1,1,0,0,1,0,49584.0,34.1316359,-117.8993239
Bainbridge Island,WA,0.1809645053947766,2,1,0,1,1,0,1,1,0,24859.0,47.6325686,-122.5678307
Bakersfield,CA,-0.1019286453624726,104,1,0,1,1,0,0,1,0,379879.0,35.3048326,-119.0155443
Baltimore,MD,0.3524859408945853,151,1,0,1,0,1,1,1,1,602274.0,39.2939891,-76.6182034
Bangor,ME,-0.0825699789859868,5,1,1,1,0,0,0,1,0,32029.0,44.7953929,-68.7940492
Barstow,CA,0.106525745128577,8,1,0,1,1,0,0,1,0,23547.0,34.887293,-117.0229161
Baton Rouge,LA,0.1304483576870238,58,0,1,1,1,0,1,1,0,222191.0,30.423967,-91.139497
Bay,MI,-0.1157414322462866,10,0,1,1,1,0,0,1,0,32892.0,43.591416,-83.888588
Beaverton,OR,0.3461067787191798,9,1,1,1,1,0,0,1,1,98567.0,45.4430491,-122.8269958
Bellevue,WA,0.5271700204955444,6,0,0,0,0,0,0,0,1,146145.0,47.6156454,-122.2037246
Bellingham,WA,0.2392944741018612,5,1,0,1,0,0,1,1,0,90821.0,48.7453714,-122.4779487
Belmont,CA,0.5769176301466128,1,1,0,1,1,0,0,1,0,26963.0,37.5225676,-122.2736388
Beloit,WI,0.1115276476101218,4,0,0,0,1,0,0,1,0,36804.0,42.5424959,-89.0251689
Berkeley,CA,0.6250730453075695,15,0,1,1,1,0,0,1,0,123065.0,37.86807,-122.2783559
Bethlehem,PA,0.0429123729456917,10,0,0,1,1,0,0,1,1,75571.0,40.612106,-75.3458519
Beverly Hills,CA,0.441649577369667,2,0,1,1,1,0,1,1,0,33709.0,34.1128442,-118.4303741
Bexley,OH,0.3138506478986705,1,1,1,1,1,1,1,1,1,13805.0,39.9568337,-82.924478
Birmingham,AL,-0.0081375142355455,67,0,1,1,0,0,0,1,0,210928.0,33.54066,-86.7516558
Boca Raton,FL,0.1278664904198106,12,1,1,1,0,0,0,1,0,98776.0,26.3686824,-80.1456363
Boise,ID,-0.0391689701567915,19,1,0,0,1,0,0,0,0,228057.0,43.6053353,-116.2877932
Boston,MA,0.6283625904400427,20,1,1,1,0,0,1,1,0,689326.0,42.3639798,-71.0604784
Bothell,WA,0.2057903900673661,3,1,0,1,1,0,1,1,1,46386.0,47.8149255,-122.2038611
Boulder,CO,0.5656563696260752,7,1,1,1,1,0,1,1,1,108777.0,40.0163244,-105.2362488
Brawley,CA,0.2437481275223375,10,1,1,1,1,0,0,1,0,25942.0,32.9902324,-115.537615
Brea,CA,0.0903421756466175,1,0,0,1,1,0,0,1,0,44182.0,33.9217913,-117.8374963
Brentwood,CA,0.453297346021785,3,0,0,1,0,0,0,0,0,63013.0,37.936187,-121.697623
Bridgeport,CT,0.273202990711183,11,1,1,1,1,0,0,1,1,145014.0,41.188164,-73.1677101
Brooklyn Center,MN,0.4320944377348806,6,0,0,1,0,0,0,1,0,30755.0,45.0634651,-93.3018704
Buena Park,CA,0.0903421756466175,5,0,0,1,1,0,0,1,0,82228.0,33.8634801,-118.0025364
Buffalo,NY,0.1460757109568843,16,1,1,1,0,1,1,0,0,255805.0,42.9402199,-78.802558
Burbank,CA,0.441649577369667,8,1,0,1,1,1,0,1,0,103411.0,34.1699726,-118.3402232
Burleson,TX,-0.5299083587892253,1,0,0,1,1,0,0,1,0,47151.0,32.481889,-97.278699
Burlingame,CA,0.5769176301466128,2,1,0,1,1,0,0,1,0,30071.0,37.5899812,-122.3495438
Burlington,VT,0.5460596351609736,4,1,1,1,1,0,1,1,1,42645.0,44.517913,-73.246385
Burnsville,MN,0.1392402167323142,4,0,0,1,0,0,0,1,0,61536.0,44.7746951,-93.3170555
Cambridge,MA,0.4488886486063678,1,0,0,1,1,0,0,1,1,117822.0,42.3737258,-71.0888436
Canton,OH,-0.1853443508760842,15,1,1,1,1,1,1,1,1,70863.0,40.7891107,-81.3733078
Carlsbad,CA,0.2275427349493771,6,1,0,1,1,1,0,1,0,114411.0,33.0787936,-117.2315251
Carmel,IN,-0.0680261238459992,2,1,1,1,0,0,0,1,0,99130.0,39.9564529,-86.0659424
Carrollton,TX,0.1926887222722338,4,0,0,0,0,0,0,0,0,137319.0,32.9678449,-96.8887202
Cedar,UT,-0.5615439770554493,1,1,0,0,1,0,0,1,0,33404.0,37.677487,-113.063528
Cedar Hill,TX,0.3170187405383772,4,1,1,1,1,0,1,1,1,48337.0,32.597072,-96.9463201
Cedar Park,TX,0.0140422372260883,3,1,1,1,1,0,0,1,0,77181.0,30.5197877,-97.8353106
Cedar Rapids,IA,0.1343972131996422,11,0,0,1,1,0,0,1,0,133125.0,41.963913,-91.695297
Ceres,CA,0.0078900601989262,7,1,0,1,1,0,0,1,0,48355.0,37.594592,-120.959453
Champaign,IL,0.2289420024805028,6,1,1,0,1,0,0,1,0,88288.0,40.114371,-88.2451569
Chandler,AZ,0.0218113438909476,15,1,1,0,1,0,1,1,0,257076.0,33.3352805,-111.8243609
Charleston,SC,0.1287964287182955,19,1,1,0,1,1,1,0,1,137041.0,32.793105,-79.9476782
Charlotte,NC,0.3507538096086256,62,1,1,1,1,1,1,1,1,873570.0,35.2390502,-80.9183189
Charlottesville,VA,0.4418138854506582,5,1,1,1,1,1,0,1,0,47217.0,37.9777939,-78.5453029
Chattanooga,TN,-0.0969300988235844,37,0,1,1,1,0,1,1,0,181370.0,35.0245577,-85.1974261
Chesapeake,VA,0.2264562637524513,22,0,1,0,1,0,0,1,0,242647.0,36.7618449,-76.3323293
Chicago,IL,0.5029985104368495,450,1,1,1,1,0,1,1,0,2699347.0,41.8126818,-87.622927
Chico,CA,0.0166166989986871,12,0,0,1,1,0,0,1,0,98683.0,39.7447185,-121.8424708
Chino,CA,0.106525745128577,9,0,0,1,1,0,0,1,0,89170.0,34.0296905,-117.6702056
Chula Vista,CA,0.2275427349493771,18,1,0,1,1,0,0,1,0,268779.0,32.6147448,-117.0788349
Cincinnati,OH,0.0515358998465116,72,1,0,0,0,0,0,1,0,302687.0,39.2132252,-84.5993801
Clearwater,FL,0.0022171998249108,18,0,1,1,1,0,1,1,1,115975.0,27.9655835,-82.7876565
Cleveland,OH,0.3411974363482347,100,1,0,0,0,1,0,1,0,383331.0,41.55794,-81.579288
Clifton,NJ,0.1657882855699642,6,1,1,1,1,1,1,1,1,85201.0,40.8927647,-74.1319391
College Station,TX,-0.1432031130600392,2,1,0,1,0,1,0,0,0,115802.0,30.627977,-96.3344068
Colleyville,TX,0.0021876201783401,1,0,0,1,0,0,0,1,1,26766.0,32.8701157,-97.113134
Colorado Springs,CO,-0.1079236955953659,64,0,0,1,1,0,1,1,1,471686.0,38.8411212,-104.7387451
Columbia,MO,0.1252413127413127,10,0,1,1,0,0,1,0,0,122659.0,38.9444639,-92.3186059
Columbia,SC,0.0908448831230237,40,0,1,1,1,0,1,1,0,134057.0,34.0336569,-81.0754075
Columbus,OH,0.2501642113165055,130,1,1,1,1,0,0,1,0,889079.0,39.9313393,-82.9958454
Concord,NC,-0.0944748223532121,4,1,0,1,1,1,0,1,0,94147.0,35.3742709,-80.5496666
Concord,NH,0.0982350648627582,2,0,1,0,1,0,1,1,1,43503.0,43.231858,-71.513673
Corona,CA,0.0794218758148173,18,0,0,1,1,0,0,1,0,168112.0,33.8765984,-117.5776708
Coronado,CA,0.2275427349493771,3,1,0,1,1,0,0,1,0,24526.0,32.6884004,-117.1638287
Corpus Christi,TX,-0.0732313837598637,40,1,0,1,1,0,1,1,0,326332.0,27.796687,-97.461578
Costa Mesa,CA,0.0903421756466175,8,0,0,1,0,0,0,0,0,112958.0,33.6931781,-117.8682869
Culver,CA,0.441649577369667,7,0,0,1,1,0,0,1,0,38913.0,38.474144,-122.745828
Cypress,CA,0.0903421756466175,1,0,0,1,1,0,0,1,0,49137.0,33.7952134,-118.0226621
Dallas,TX,0.1213369079651251,184,1,1,1,1,1,1,1,1,1338846.0,32.8781179,-96.8960164
Daly,CA,0.5769176301466128,5,0,0,1,1,0,0,1,0,107197.0,37.692324,-122.464221
Davis,CA,0.4142701502662034,7,1,1,1,1,0,1,1,1,68640.0,38.5398745,-121.7548688
Dayton,OH,-0.0268276042402402,55,0,1,1,1,0,1,0,0,140444.0,39.7462286,-84.1881935
Delray Beach,FL,0.1278664904198106,11,0,1,1,0,0,0,1,1,68916.0,26.439481,-80.0966709
Denver,CO,0.3213900199542011,119,1,1,1,1,1,1,1,1,715878.0,39.7383026,-104.9315471
Des Moines,IA,0.1495082220633417,33,1,1,1,1,0,0,1,0,215408.0,41.6295304,-93.6044462
Desert Hot Springs,CA,0.0794218758148173,9,1,0,1,1,0,0,1,0,29280.0,33.9587122,-116.5030699
Detroit,MI,0.3812364680005822,177,1,1,1,1,0,1,1,1,672351.0,42.4045258,-83.0922741
Dover,DE,0.0407124389543234,3,1,1,1,0,0,1,0,0,37872.0,39.154961,-75.516848
Dover,NH,0.1526169900538072,1,0,1,1,1,0,1,1,0,31922.0,43.2135901,-70.8901888
Downey,CA,0.441649577369667,10,0,0,1,0,0,0,0,0,111263.0,33.9156779,-118.1250809
Durham,NC,0.6237924786286781,25,1,1,1,1,1,1,1,1,276341.0,35.9916125,-78.911903
East Palo Alto,CA,0.4741219713167697,4,0,0,1,1,1,0,1,0,29448.0,37.472808,-122.1543759
El Cajon,CA,0.2275427349493771,16,1,1,1,0,0,1,0,0,103249.0,32.823264,-116.930736
El Centro,CA,0.2437481275223375,5,1,0,1,0,0,0,1,0,43881.0,32.7968771,-115.5589276
El Monte,CA,0.441649577369667,15,0,0,1,1,0,0,1,0,113917.0,34.063422,-118.0140101
El Paso,TX,0.351649052034087,62,0,1,0,1,0,1,0,0,679879.0,31.8149706,-106.5444542
El Segundo,CA,0.441649577369667,4,1,0,1,1,0,0,1,0,16575.0,33.9277745,-118.4224688
Elk Grove,CA,0.2524956850954846,13,1,1,1,1,0,0,1,0,173370.0,38.4377286,-121.4026724
Emeryville,CA,0.6250730453075695,2,0,0,1,1,0,0,1,0,11679.0,37.8319462,-122.280456
Escondido,CA,0.2275427349493771,28,0,0,1,1,0,0,0,1,150396.0,33.1217135,-117.0793341
Eugene,OR,0.2431013304657305,11,0,0,1,0,0,0,1,0,170457.0,44.0867586,-123.0751145
Eureka,CA,0.3340644655230016,12,0,0,1,1,0,0,1,0,26938.0,40.7987139,-124.1693501
Everett,MA,0.4990514567121973,2,1,1,1,1,0,1,1,1,46275.0,42.402881,-71.0418939
Everett,WA,0.2057903900673661,15,1,1,1,1,0,1,1,0,110840.0,47.997628,-122.1996534
Fairfield,CA,0.3027681576863855,10,0,0,1,1,0,0,1,0,116544.0,38.2737017,-122.0340464
Fayetteville,NC,0.1660686374447842,38,1,1,0,0,0,0,1,0,211201.0,34.9965997,-78.9010378
Fishers,IN,-0.0680261238459992,2,0,0,1,1,1,0,0,0,93488.0,39.9625634,-86.0292731
Fitchburg,WI,0.5260723162727565,1,0,1,1,1,0,1,0,1,30032.0,43.0227609,-89.4194503
Flagstaff,AZ,0.2408286930887651,13,0,1,0,1,0,0,1,1,73319.0,35.2077009,-111.6106497
Folsom,CA,0.2524956850954846,6,1,0,1,1,0,0,1,0,79584.0,38.6646519,-121.16037
Fontana,CA,0.106525745128577,32,0,0,1,1,0,0,1,0,212704.0,34.044552,-117.4650992
Forest Grove,OR,0.3461067787191798,3,1,0,1,1,0,0,1,0,24847.0,45.5355475,-123.1119947
Fort Collins,CO,0.1543697456516506,20,0,0,1,0,0,0,1,0,166069.0,40.5562063,-105.0786869
Fort Lauderdale,FL,0.297954832134593,41,0,0,1,0,0,0,0,1,181818.0,26.1410883,-80.1201673
Fort Myers,FL,-0.1918055135961248,19,0,1,1,0,0,0,1,0,83505.0,26.6450748,-81.858368
Fort Wayne,IN,-0.1117445972959865,34,0,1,0,1,0,0,0,1,268378.0,41.1271112,-85.1403498
Fort Worth,TX,0.0021876201783401,83,1,1,1,1,1,0,1,0,892221.0,32.7891849,-97.353167
Foster,CA,0.5769176301466128,1,0,0,1,1,1,0,1,1,33056.0,37.512721,-122.281283
Fountain Valley,CA,0.0903421756466175,7,0,0,1,1,0,0,1,0,56118.0,33.7088573,-117.9400463
Framingham,MA,0.4488886486063678,2,1,1,1,1,1,1,1,1,72846.0,42.2863645,-71.410912
Franklin,MA,0.3601043202397808,1,0,1,1,1,1,1,0,0,33644.0,42.0893042,-71.3806905
Frederick,MD,0.0960958692442399,15,1,0,1,0,0,0,1,1,71843.0,39.4602915,-77.4093615
Fredericksburg,VA,0.0118279377677672,13,0,0,1,0,1,0,1,0,29059.0,36.8780134,-77.4037145
Fremont,CA,0.6250730453075695,21,1,0,1,1,0,0,1,0,234829.0,37.4686468,-121.9078965
Fresno,CA,0.0782671127955124,133,1,0,1,1,1,0,1,0,526147.0,36.8299658,-119.8511558
Fridley,MN,-0.0189881211753784,3,1,0,1,1,0,0,1,1,27789.0,45.0722118,-93.2611276
Fullerton,CA,0.3492393818830729,13,1,0,1,1,0,0,1,0,141061.0,33.8935243,-117.9663114
Gainesville,FL,0.2716052845642479,16,1,1,1,0,0,1,1,0,133611.0,29.6722047,-82.3350765
Gaithersburg,MD,0.596442482618039,3,1,0,1,1,0,1,1,1,67878.0,39.162041,-77.180863
Garden Grove,CA,0.0903421756466175,25,0,0,1,0,0,0,0,0,172800.0,33.7774911,-117.918324
Gardena,CA,0.441649577369667,21,0,0,1,1,0,0,1,0,59401.0,33.9030171,-118.3206348
Garland,TX,0.3170187405383772,25,0,0,1,1,0,0,0,0,238622.0,32.9187447,-96.6522267
Geneva,NY,-0.0002330032454023,1,0,0,1,0,0,0,0,0,12720.0,42.8799817,-76.9782152
Gilbert,AZ,0.0218113438909476,7,0,1,1,1,0,1,0,1,248349.0,33.3356142,-111.7555851
Gilroy,CA,0.4741219713167697,12,0,0,1,1,0,0,0,0,55227.0,37.0628625,-121.5952029
Glendale,AZ,0.0218113438909476,27,0,1,0,0,0,1,0,0,250290.0,33.5929197,-112.1600283
Glendale,CA,0.441649577369667,9,1,1,1,1,0,1,1,0,199357.0,34.1735802,-118.1928511
Goodyear,AZ,0.0218113438909476,3,0,1,1,1,0,0,1,0,83519.0,33.4516815,-112.3445615
Grand Prairie,TX,0.1672134493139611,8,0,0,1,1,0,0,0,0,193835.0,32.6734865,-97.0364226
Grand Rapids,MI,-0.0264911913107986,20,0,0,1,0,0,0,1,0,199417.0,42.9435733,-85.6602844
Green Bay,WI,-0.0719359520056659,12,1,0,1,1,0,0,1,0,104508.0,44.5232844,-88.0982038
Greenfield,CA,0.412718166456202,1,0,0,1,1,0,0,1,0,17565.0,36.31631,-121.2547074
Greenfield,MA,0.4378531730344394,1,1,1,0,1,0,0,0,0,17353.0,42.5950397,-72.5927786
Greensboro,NC,0.2312662134516285,23,1,0,0,0,0,0,1,0,294395.0,36.0530491,-79.9044506
Greenville,SC,-0.1820263020278514,31,1,1,0,1,0,1,1,0,69648.0,34.7940661,-82.3186631
Greenville,TX,-0.5248335362852035,3,0,0,1,0,0,1,0,0,28088.0,33.1327113,-96.0290153
Hackensack,NJ,0.1644653916817418,7,1,1,1,1,1,1,1,1,44266.0,40.8880702,-74.0499091
Hagerstown,MD,-0.2092093421266173,8,1,1,0,1,0,0,1,0,40027.0,39.654649,-77.769294
Harrisburg,PA,0.0853306009445741,23,1,1,1,1,0,1,1,1,49247.0,40.2677739,-76.869852
Hartford,CT,0.2767283280217921,15,1,1,1,1,0,1,1,1,122549.0,41.7517732,-72.7085135
Hayward,CA,0.6250730453075695,28,0,0,1,1,0,0,1,1,158817.0,37.6162801,-122.092026
Helena,MT,-0.039417958121377,2,0,0,0,0,0,0,1,1,32655.0,46.6797758,-112.0291321
Henderson,NV,0.0935588311522686,27,1,1,1,1,0,1,1,0,309955.0,36.0248192,-115.0854228
Hialeah,FL,0.0735043429551458,17,0,1,0,0,0,0,1,0,233876.0,25.8906591,-80.3018572
Hoffman Estates,IL,0.5029985104368495,1,0,1,0,1,0,1,1,0,50464.0,42.0466299,-88.1436715
Honolulu,HI,0.268556563430707,26,1,1,1,1,0,0,1,1,347181.0,21.2773052,-157.8220959
Houston,TX,0.1278050894445968,445,1,1,1,0,0,1,1,1,2313238.0,29.6683153,-95.3122362
Hudson,OH,0.0956776588120781,1,0,0,0,1,0,0,1,0,22249.0,41.2626622,-81.3929428
Huntington Beach,CA,0.0903421756466175,15,0,0,1,1,0,0,1,0,199778.0,33.7142089,-117.9920708
Idaho Falls,ID,-0.4361700157421983,13,1,0,0,1,0,0,1,0,62417.0,43.4920467,-112.0358361
Imperial,CA,0.2437481275223375,2,0,0,1,1,0,0,1,0,18631.0,32.8204806,-115.5542296
Indianapolis,IN,0.2915591898752371,113,1,1,1,1,0,0,1,0,869387.0,39.7926014,-86.2730021
Inglewood,CA,0.441649577369667,28,1,0,1,1,0,0,1,0,109309.0,33.9548761,-118.3469531
Irvine,CA,0.0903421756466175,5,1,1,1,1,0,0,1,0,272694.0,33.7235159,-117.7716468
Irving,TX,0.3170187405383772,12,0,0,0,0,0,0,0,1,240475.0,32.8617983,-97.0115
Issaquah,WA,0.5271700204955444,1,0,1,0,1,0,0,1,0,38707.0,47.525131,-122.032148
Ithaca,NY,0.4891200486448923,3,1,1,1,1,0,0,0,1,30715.0,42.440538,-76.5130135
Jackson,MS,0.1409953626825098,47,1,1,1,1,1,1,1,1,163778.0,32.3557899,-90.1419362
Jacksonville,FL,0.0381356276125157,134,0,1,1,1,0,0,0,0,902488.0,30.3647826,-81.6697402
Janesville,WI,0.1115276476101218,1,0,1,0,0,0,0,1,0,64415.0,42.678584,-89.0023599
Jersey,NJ,0.4632939763858315,19,1,1,1,1,1,1,1,1,262652.0,40.731001,-74.076526
Joplin,MO,-0.3102261443135916,15,0,1,0,0,0,0,0,0,50580.0,37.0193161,-94.5005808
Kenosha,WI,-0.0313169104554982,9,1,1,1,1,0,1,1,0,99767.0,42.5667413,-87.8875487
Killeen,TX,-0.0854092247301275,12,1,1,1,1,0,1,1,0,148573.0,31.098448,-97.6932904
Kirkland,WA,0.5271700204955444,4,1,0,1,1,0,1,1,0,91146.0,47.7071288,-122.1885209
Knoxville,TN,-0.1501568762581838,49,1,0,0,1,0,1,0,0,187487.0,36.06293,-83.778787
La Habra,CA,0.0903421756466175,9,0,0,1,1,0,0,1,0,62787.0,33.9325126,-117.9458924
Lafayette,LA,-0.2867072414666305,24,0,0,0,0,0,0,1,1,126674.0,30.2414108,-92.031353
Laguna Beach,CA,0.0903421756466175,5,0,0,1,1,0,0,1,0,22991.0,33.5357941,-117.777835
Lakeland,FL,-0.1443150301815554,26,0,0,0,0,0,0,0,1,110335.0,28.21242,-82.044137
Lakewood,CA,0.441649577369667,7,1,1,1,0,1,1,1,0,79676.0,33.8561922,-118.1307539
Lakewood,NJ,-0.2877873950268801,2,1,1,1,1,1,1,1,1,55039.0,40.0602886,-74.2294077
Lancaster,PA,-0.1583005934220433,7,1,1,0,1,0,0,1,1,59321.0,40.0341147,-76.3187827
Lansing,MI,0.1551470468602189,9,0,0,0,1,0,0,1,0,117488.0,42.7640717,-84.570649
Laredo,TX,0.2327879877772417,24,0,1,1,1,0,1,0,0,260571.0,27.5447005,-99.5042791
